epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1772.24,0.75417,1.34007,0.92916,0.94729,0.95189,0.97158,0.75728,0.7046,0.80627,0.91983,0.000555343,0.000555343,0.000555343
2,5819.19,0.73026,0.71229,0.92481,0.88826,0.94269,0.9266,0.74164,0.65055,0.67254,0.90972,0.00100102,0.00100102,0.00100102
3,7514.17,0.69884,0.56936,0.92059,0.95867,0.95431,0.97251,0.78812,0.67042,0.53199,0.90001,0.00133667,0.00133667,0.00133667
4,9414.08,0.66312,0.50125,0.90825,0.9442,0.96876,0.94913,0.77913,0.59119,0.50119,0.87957,0.0011719,0.0011719,0.0011719
5,11445,0.63456,0.45069,0.88997,0.97881,0.959,0.9843,0.83446,0.57172,0.40922,0.86527,0.00100687,0.00100687,0.00100687
6,13021.8,0.59006,0.41049,0.87423,0.98159,0.96553,0.98642,0.84528,0.54294,0.38039,0.86153,0.000841835,0.000841835,0.000841835
7,216513,0.56255,0.37198,0.86198,0.97814,0.97253,0.98382,0.84923,0.5276,0.37463,0.8521,0.000676802,0.000676802,0.000676802
8,218427,0.5431,0.35423,0.85945,0.98542,0.97488,0.98863,0.85254,0.53791,0.34987,0.85272,0.000511769,0.000511769,0.000511769
9,18651.3,0.51239,0.32535,0.84651,0.98342,0.97448,0.99091,0.87153,0.49908,0.33685,0.84569,0.000346736,0.000346736,0.000346736
10,20675.4,0.49261,0.30232,0.84176,0.97987,0.98416,0.98462,0.87083,0.47746,0.31399,0.83436,0.000181703,0.000181703,0.000181703
