epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1053.2,0.73251,1.34232,0.91788,0.93574,0.9138,0.94108,0.74896,0.67156,0.88981,0.90522,0.00055502,0.00055502,0.00055502
2,2221.61,0.73044,0.73074,0.92945,0.94755,0.96243,0.97221,0.77714,0.6707,0.56155,0.90385,0.00109969,0.00109969,0.00109969
3,78542.6,0.71194,0.57746,0.92629,0.97475,0.95395,0.98368,0.79588,0.6454,0.49789,0.91578,0.00163336,0.00163336,0.00163336
4,79554.4,0.68917,0.52036,0.91698,0.96953,0.96178,0.98083,0.78958,0.65264,0.47571,0.89854,0.00161749,0.00161749,0.00161749
5,80494.7,0.66616,0.46882,0.90929,0.98806,0.96189,0.98988,0.82307,0.61515,0.42567,0.89547,0.00160099,0.00160099,0.00160099
6,81425,0.63901,0.45149,0.89421,0.9786,0.96634,0.98668,0.83188,0.58814,0.40348,0.88599,0.00158448,0.00158448,0.00158448
7,82286.2,0.61451,0.42779,0.88678,0.98425,0.95654,0.98253,0.84027,0.56267,0.38722,0.87514,0.00156798,0.00156798,0.00156798
8,86413.4,0.60634,0.41468,0.87964,0.9717,0.96404,0.97977,0.82729,0.57715,0.39427,0.87151,0.00155148,0.00155148,0.00155148
9,87997.1,0.59769,0.39672,0.87672,0.9756,0.95945,0.9822,0.84325,0.54708,0.36737,0.86083,0.00153497,0.00153497,0.00153497
10,92634,0.59606,0.39302,0.87314,0.99238,0.96592,0.98927,0.83507,0.57019,0.36321,0.87034,0.00151847,0.00151847,0.00151847
11,93588.6,0.58944,0.38048,0.87363,0.98971,0.96049,0.99114,0.83311,0.57085,0.36427,0.86672,0.00150197,0.00150197,0.00150197
12,94549.8,0.57479,0.37191,0.87056,0.98377,0.97377,0.99242,0.8528,0.52749,0.34206,0.85511,0.00148546,0.00148546,0.00148546
13,95536.4,0.58085,0.3638,0.87045,0.98639,0.97552,0.99052,0.85585,0.54483,0.34753,0.8632,0.00146896,0.00146896,0.00146896
14,96490.7,0.56514,0.35492,0.86597,0.98885,0.9735,0.99153,0.84681,0.55135,0.33572,0.86038,0.00145246,0.00145246,0.00145246
15,97259.1,0.56646,0.35609,0.8639,0.97429,0.97541,0.9886,0.84875,0.54106,0.34727,0.85589,0.00143595,0.00143595,0.00143595
16,98061.2,0.56595,0.35068,0.86358,0.96408,0.97762,0.98097,0.84921,0.53563,0.33321,0.85696,0.00141945,0.00141945,0.00141945
17,99017.3,0.5553,0.34734,0.86461,0.99097,0.97995,0.99211,0.8655,0.50827,0.31198,0.84712,0.00140295,0.00140295,0.00140295
18,99951.8,0.54794,0.33982,0.86012,0.98603,0.97463,0.99125,0.85782,0.52638,0.33163,0.85222,0.00138644,0.00138644,0.00138644
19,100933,0.54458,0.33513,0.86092,0.97921,0.98119,0.99168,0.85428,0.52761,0.31933,0.86085,0.00136994,0.00136994,0.00136994
20,101884,0.53897,0.3353,0.85632,0.98156,0.98117,0.99059,0.8561,0.5366,0.33066,0.8534,0.00135344,0.00135344,0.00135344
21,102836,0.5456,0.33396,0.85823,0.9685,0.97284,0.97833,0.85739,0.50228,0.34699,0.84437,0.00133693,0.00133693,0.00133693
22,103747,0.53009,0.32418,0.85144,0.98452,0.98128,0.98886,0.87173,0.50388,0.29882,0.84905,0.00132043,0.00132043,0.00132043
23,104719,0.53581,0.32379,0.85964,0.97964,0.97374,0.9871,0.86138,0.52212,0.31862,0.85168,0.00130393,0.00130393,0.00130393
24,105651,0.52985,0.31627,0.84919,0.98494,0.97895,0.99319,0.87182,0.51408,0.30566,0.84199,0.00128742,0.00128742,0.00128742
25,106635,0.52657,0.31847,0.8516,0.98416,0.97693,0.99169,0.87997,0.49952,0.30287,0.84746,0.00127092,0.00127092,0.00127092
